"BusinessName","Telephone","Email","EmailHost","WebsiteURL","Linkedin","FacebookProfile","FacebookMessenger","Instagram","Twitter","Google_Rank","DomainRegistered","DomainExpiry","DomainNameserver","DomainRegistrar","Instagram_Followers","Instagram_Follows","Instagram_TotalPhotos","Instagram_Average_Likes","Instagram_Average_Comments","Instagram_Is_verified","Instagram_HighlightReel_Count","Instagram_Is_BizAccount","Instagram_AccountName","YelpAds","FBMessenger_Ads","FacebookAds","Instagram_Ads","Adwords_Ads","Gmaps_URL","GMB_Claimed","FacebookPixel","GooglePixel","CriteoPixel","GoogleStars","GoogleCount","YelpStars","Yelpcount","FacebookStars","Facebookcount","MainCategory","Address","City","State","ZIP","MobileFriendly","GoogleAnalytics","SchemaMarkup","UseWordpress","UseShopify","LinkedinAnalytics"
"Resilienz Clinic (Singapore Psychiatrist and Psychologist)","6563977300","appointment@resilienz.com.sg","Pro Plan Only","https://www.resilienz.com.sg/","https://www.linkedin.com/company/resilienz-singapore-1003","","","https://instagram.com/resilienzsingapore/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Resilienz+Clinic+%28Singapore+Psychiatrist+and+Psychologist%29/@1.3206513,103.8443689,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x6BBEA8A706BF2092!8m2!3d1.3206513!4d103.8443689","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","NTUC Fairprice","Singapore","","309331","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Ava Eye Clinic - Eye Specialists in Novena Singapore","6562507377","audreylooi@avaeyeclinic.com","Pro Plan Only","https://avaeyeclinic.com/","https://www.linkedin.com/company/ava-eye-clinic","","","https://instagram.com/avaeyeclinic/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/avaeyeclinic","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Irrawaddy Rd #20-01 Ava Eye Clinic - Eye Specialists in Novena Singapore, Royal Square Medical Centr","Singapore","Singapore","32","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Benchmark Physio - Physiotherapy Clinic Singapore","6588368526","info@benchmarkphysio.com","Pro Plan Only","http://www.benchmarkphysio.com/","https://www.linkedin.com/in/hong-kai-ng-8bb64b5b","","","https://instagram.com/benchmarkphysiosg/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Benchmark+Physio+-+Physiotherapy+Clinic+Singapore/@1.3231069,103.8111659,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x2E0A95551341476D!8m2!3d1.3231069!4d103.8111659","verified","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Crown Centre, Benchmark Physio - Physiotherapy Clinic Singapore, 269694","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"OC Medical Raffles Place Pte. Ltd.","6565322692","contactus@onecaremedical.com.sg","Pro Plan Only","https://www.onecaremedical.com.sg/clinics/raffles-place/","https://www.linkedin.com/company/onecare-medical","","","https://instagram.com/onecaremedicalsingapore/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/onecare-clinic-hougang-ave8","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","2 JURONG EAST STREET 21","Singapore","Singapore","609601","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"NEW PATH FAMILY CLINIC PTE. LTD.","6569800662","contact@newpathclinics.com.sg","Pro Plan Only","https://www.newpathclinics.com.sg/","https://www.linkedin.com/company/newpathsg","","","https://instagram.com/newpathfamilyclinic/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/new-path-family-clinic","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","30 CECIL STREET Singapore 049712","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"GET WELL CLINIC PTE. LTD.","14165085691","appointments@getwellclinic.ca","Pro Plan Only","https://getwellclinic.ca","https://www.linkedin.com/company/getwellclinic-ca","","","https://instagram.com/getwellforlife/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/getwellclinic-ca","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","1 MAGAZINE ROAD","Singapore","Singapore","059567","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Cambridge Clinic","63271252","clinic@cambridgemedical.com.sg","Pro Plan Only","https://www.cambridgemedical.com.sg/","https://www.linkedin.com/company/cambridge-medical-group---sculptra-singapore","","","https://instagram.com/cambridge_therapeutics/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Cambridge+Clinic/@1.280938744545,103.84251403809,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x931F699138310E9D!8m2!3d1.280938744545!4d103.84251403809","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Kreta Ayer Road 333 Singapore 080333","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"LocoMotion Clinic Pte Ltd","92349704","info@thenutritionclinic.com.sg","Pro Plan Only","https://www.thenutritionclinic.com.sg/shop","https://www.linkedin.com/in/pooja-vig-3bb10940","","","https://instagram.com/thenutritionclinicsg/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/LocoMotion+Clinic+Pte+Ltd/@1.2758569717407,103.84434509277,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x3771DB197374A7CB!8m2!3d1.2758569717407!4d103.84434509277","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","100 Peck Seah Street #10-12 Singapore 079333","Singapore","Singapore","079333","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"MODE Medical Clinic","6567374964","hello@modemedicalclinic.com.sg","Pro Plan Only","https://www.modemedicalclinic.com.sg/","https://www.linkedin.com/company/mode-medical-clinic","","","https://instagram.com/modemedicalclinicsg/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/modeaestheticssg","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","176 Orchard Road","Singapore","Singapore","238843","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Dr Plus Aesthetics Clinic (Tanjong Pagar)","6588568075","support@drplusaestheticsclinic.com","Pro Plan Only","https://drplusaestheticsclinic.com/","https://www.linkedin.com/company/dr-plus-aesthetics-clinic","","","https://instagram.com/drplusaestheticsclinic/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Dr+Plus+Aesthetics+Clinic+%28Tanjong+Pagar%29/@1.2779251337051,103.84825897217,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x4870E64503B86DF6!8m2!3d1.2779251337051!4d103.84825897217","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","160 Robinson Rd","Downtown Core","Central Region, Singapore","068914","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"DCA&Anna Dental Clinic","6562504513","central@nuffielddental.com.sg","Pro Plan Only","https://www.smilemakers.com.sg/","https://www.linkedin.com/company/smile-makers-dental-clinic","","","https://instagram.com/nuffielddental/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","MHC Medical Centre, Square 2, 10 Sinaran Dr","Singapore","Singapore","307506","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"SL Aesthetic Clinic","6567349375","weixiang@slclinic.com.sg","Pro Plan Only","https://slclinic.com.sg/","https://www.linkedin.com/company/sl-aesthetic-clinic","","","https://instagram.com/sl.aesthetic.sg/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/sl-aesthetic-clinic-t1","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","501 Orchard Road, #04-04 Wheelock Place","Singapore","Singapore","238880","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"UFIT CLINIC PTE. LTD.","65090057","declan@ufit.com.sg","Pro Plan Only","https://www.ufit.com.sg/blog","https://www.linkedin.com/company/ufit-health-and-fitness","","","https://instagram.com/ufitsingapore/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/UFIT-Club-Street","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","21 CLUB STREET Singapore 069410","Singapore","","069247","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"The Kidney Health Clinic PTE. LTD.","6562232848","accounts@onefutureworld.com","Pro Plan Only","https://onefutureworld.com/","https://www.linkedin.com/company/one-futureworld","","","https://instagram.com/bosebyofw/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/The+Kidney+Health+Clinic+PTE.+LTD./@1.3048900365829,103.83544921875,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x3731C8CD11DD980D!8m2!3d1.3048900365829!4d103.83544921875","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","3 MOUNT ELIZABETH","Singapore","Singapore","228510","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"BK Aesthetic Clinic","6593897749","singapore@bkhospital.com","Pro Plan Only","https://www.bkhospital.com.sg/","https://www.linkedin.com/company/bk-medical-group-aesthetic-clinic","","","https://instagram.com/bkaestheticclinic/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/bkaestheticclinic","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","100 Tras Street, 100am Mall, #04-12","Singapore","Singapore","079027","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Common TCM Clinic, Somerset","6569808658","hello@commontcm.sg","Pro Plan Only","https://www.commontcm.sg/","https://www.linkedin.com/in/victoriatanwanyan","","","https://instagram.com/common.tcm/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","111 Somerset Rd, #03-10 TripleOne Somerset","Singapore","Singapore","238164","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Clearvision Eye Clinic & LASIK Centre Singapore","67333316","doctor@eyecare.com.sg","Pro Plan Only","https://clearvision.com.sg/","https://www.linkedin.com/company/clearvision-eye-clinic-&-lasik-centre","","","https://instagram.com/clearvisionsg/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Clearvision+Eye+Clinic+%26+LASIK+Centre+Singapore/@1.3046200275421,103.83463287354,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x914149B2A295F215!8m2!3d1.3046200275421!4d103.83463287354","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","6 NUTMEG ROAD Singapore 228337","Singapore","Singapore","228337","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Skin Health Singapore-Skin Specialist Clinic for the Whole Family","6564766821","skinhealthspore@gmail.com","Pro Plan Only","https://skinhealthsg.com.sg/","https://www.linkedin.com/in/hong-yi-koh-428b0432","","","https://instagram.com/tsnskinclinic/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/GleneaglesSkinDoctor","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","6 Napier Road","Singapore","Singapore","258499","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"A.D.S Clinic","69701622","info@a-d-s-clinic.com","Pro Plan Only","https://www.a-d-s-clinic.com/","https://www.linkedin.com/company/aesthetic-dental-surgery","","","https://instagram.com/a.d.s.clinic/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/A.D.S+Clinic/@1.2929799556732,103.85704040527,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xC0B62F2CEF1EC2C6!8m2!3d1.2929799556732!4d103.85704040527","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","3 TEMASEK BOULEVARD Singapore 038983","Singapore","Singapore","039594","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"The Psychotherapy Clinic","62220730","simonneo@thepsychotherapyclinic.com.sg","Pro Plan Only","https://www.thepsychotherapyclinic.com.sg/","https://www.linkedin.com/in/dr-simon-neo-0982019","","","https://instagram.com/the_psychotherapy_clinic_sg/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/The+Psychotherapy+Clinic/@1.2836748361588,103.84387207031,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x5A164B89FCF43F75!8m2!3d1.2836748361588!4d103.84387207031","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","69a Pagoda Street Singapore 059228","Singapore","","059228","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"The Rehab Lab (Sports&Spine Physiotherapy Clinic)","80571800","admin@therehablabsg.com","Pro Plan Only","https://www.therehablabsg.com/","https://www.linkedin.com/company/the-rehab-lab-sg","","","https://instagram.com/therehablabsg/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/therehablabsg","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","60 Tessensohn Road Singapore 217664","Singapore","Singapore","217664","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"TrueCare Clinic","83000101","drharshal@truecareclinic.sg","Pro Plan Only","https://www.truecareclinic.sg/","https://www.linkedin.com/company/true-care-clinic","","","https://instagram.com/truecareclinicsg/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/TrueCare+Clinic/@1.3423907756805,103.95279693604,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xB2465DBE6D105586!8m2!3d1.3423907756805!4d103.95279693604","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","01-20, 3 Simei Street 6 Tampines 528833","","","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"RAPID PHYSIOCARE PTE. LTD.","69044900","vxuan@rapidphysiocare.com","Pro Plan Only","https://rapidphysiocare.com/","https://www.linkedin.com/in/john-abraham-b59a224a","","","https://instagram.com/rapid_physiocare/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://g.page/rapid-physiotherapy-novena","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","10 Anson Road Singapore 079903","Singapore","","309331","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
"Bay Aesthetics Clinic and Medispa","6584287811","bayclinicsg@gmail.com","Pro Plan Only","https://www.bayclinic.sg/","https://www.linkedin.com/company/bay-aesthetics-clinic","","","https://instagram.com/bay.clinic/","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Agency/Pro","Upgrade","Pro Plan Only","Pro Plan Only","Pro Plan Only","Pro Plan Only","https://maps.google.com/maps/place/Bay+Aesthetics+Clinic+and+Medispa/@1.2903424501419,103.85807037354,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xA2A51D5BDC5BD4F!8m2!3d1.2903424501419!4d103.85807037354","1","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan Only","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","B2-12 Marina Bay Link Mall, 8A Marina Boulevard","Singapore","Singapore","","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan","Agency/Pro Plan"
